ensembl_gene_id	go_id
207	LOC122847473	GO:0006412
208	LOC122852468	GO:0003824
209	LOC122852468	GO:0016787
210	GeneID_122856103	
211	LOC122860897	GO:0003677
212	LOC122860897	GO:0006355
213	LOC122860897	GO:0005634
214	LOC122860897	GO:0003700
215	LOC122860897	GO:0006357
216	LOC122854257	GO:0005634
217	LOC122854257	GO:0005730
218	LOC122848509	GO:0006644
219	LOC122848509	GO:0004623
220	LOC122848509	GO:0050482
221	LOC122848509	GO:0005576
222	LOC122854882	GO:0005515
223	LOC122854882	GO:0004842
224	LOC122854882	GO:0046872
225	LOC122854882	GO:0016567
226	GeneID_122853631	
227	LOC122858259	GO:0003735
228	LOC122858259	GO:0006412
229	LOC122858259	GO:0005840
230	LOC122858259	GO:0003723
231	LOC122858337	GO:0004348
232	LOC122858337	GO:0006665
233	LOC122858337	GO:0016787
234	LOC122858337	GO:0008152
235	LOC122858337	GO:0006629
236	LOC122858337	GO:0016798
237	LOC122856854	GO:0008446
238	LOC122856854	GO:0019673
239	LOC122856854	GO:0042350
240	LOC122856854	GO:0042351
241	LOC122852608	GO:0008270
242	LOC122852608	GO:0006508
243	LOC122852608	GO:0004222
244	LOC122852608	GO:0008237
245	LOC122852608	GO:0046872
246	LOC122852608	GO:0016787
247	LOC122852608	GO:0008233
248	LOC122859136	GO:0003677
249	LOC122859136	GO:0006355
250	LOC122859136	GO:0003700
251	LOC122848926	GO:0046872
252	LOC122848926	GO:0016491
253	LOC122848926	GO:0005634
254	LOC122848926	GO:0016706
255	LOC122848926	GO:0051213
256	LOC122848926	GO:0005506
257	LOC122847502	GO:0005515
258	GeneID_122859975	
259	LOC122856674	GO:0003824
260	LOC122856674	GO:0008484
261	LOC122856674	GO:0016787
262	LOC122852582	GO:0005515
263	LOC122859746	
264	LOC122851127	GO:0016462
265	LOC122851409	GO:0005975
266	LOC122851409	GO:0004553
267	LOC122851409	GO:0030246
268	LOC122851409	GO:0016020
269	LOC122851409	GO:0016021
270	LOC122851409	GO:0002376
271	LOC122851409	GO:0045087
272	LOC122847547	GO:0016020
273	LOC122847547	GO:0016021
274	LOC122856972	
275	LOC122854447	
276	LOC122849974	
277	LOC122854008	GO:0016298
278	LOC122854008	GO:0006629
279	LOC122854008	GO:0005576
280	LOC122854008	GO:0016787
281	LOC122859628	GO:0006508
282	LOC122859628	GO:0004198
283	LOC122859628	GO:0016787
284	LOC122859628	GO:0008233
285	LOC122859628	GO:0008234
286	LOC122848934	
287	LOC122859398	GO:0003735
288	LOC122859398	GO:0006412
289	LOC122859398	GO:0005840
290	LOC122859398	GO:0003723
291	LOC122857043	GO:0016192
292	LOC122857043	GO:0035658
293	LOC122858594	GO:0030705
294	LOC122858594	GO:0005737
295	LOC122858594	GO:0005856
296	LOC122853735	GO:0005525
297	LOC122853735	GO:0003924
298	LOC122855792	
299	LOC122849659	GO:0003735
300	LOC122849659	GO:0006412
301	LOC122849659	GO:0005840
302	LOC122857246	GO:0005515
303	LOC122857246	GO:0007275
304	LOC122857246	GO:0007389
305	LOC122857246	GO:0009790
306	LOC122852101	GO:0005515
307	LOC122852101	GO:0016021
308	LOC122852101	GO:0006986
309	LOC122847923	GO:0016020
310	LOC122847923	GO:0016021
311	LOC122847923	GO:0006751
312	LOC122847923	GO:0036374
313	LOC122848745	GO:0044666
314	LOC122857476	GO:0016021
315	LOC122857476	GO:0022857
316	LOC122857476	GO:0055085
317	LOC122857476	GO:0016020
318	LOC122853868	GO:0006281
319	LOC122853868	GO:0003678
320	LOC122853868	GO:0000723
321	LOC122856890	GO:0016791
322	LOC122851517	
323	LOC122850370	
324	LOC122852591	GO:0005524
325	LOC122852591	GO:0003676
326	LOC122852591	GO:0000166
327	LOC122852591	GO:0016787
328	LOC122852591	GO:0006397
329	LOC122852591	GO:0004386
330	LOC122856440	
331	LOC122854100	
332	LOC122848731	GO:0016021
333	LOC122848731	GO:0005524
334	LOC122848731	GO:0055085
335	LOC122848731	GO:0140359
336	LOC122848731	GO:0016020
337	LOC122848731	GO:0000166
338	LOC122852438	GO:0016020
339	LOC122852438	GO:0003824
340	LOC122852438	GO:0004497
341	LOC122852438	GO:0005507
342	LOC122852438	GO:0016715
343	LOC122852438	GO:0006518
344	LOC122852438	GO:0046872
345	LOC122859876	GO:0005524
346	LOC122859876	GO:0003676
347	LOC122859876	GO:0015074
348	LOC122859876	GO:0006633
349	LOC122859876	GO:0003989
350	LOC122851693	GO:0004497
351	LOC122851693	GO:0020037
352	LOC122851693	GO:0005506
353	LOC122851693	GO:0016705
354	LOC122851693	GO:0046872
355	LOC122851693	GO:0016020
356	LOC122851693	GO:0016021
357	LOC122851693	GO:0004984
358	LOC122851693	GO:0005549
359	LOC122851693	GO:0007608
360	LOC122851693	GO:0050911
361	LOC122851693	GO:0016491
362	LOC122851693	GO:0043231
363	LOC122859529	
364	LOC122858492	GO:0016020
365	LOC122858492	GO:0016021
366	LOC122858492	
367	LOC122847487	GO:0005524
368	LOC122847487	GO:0046961
369	LOC122847487	GO:1902600
370	LOC122847487	GO:0046034
371	LOC122847487	GO:0033180
372	LOC122847487	GO:0000166
373	LOC122847487	GO:0006811
374	LOC122861105	
375	LOC122852710	GO:0016491
376	LOC122849373	GO:0016021
377	LOC122849373	GO:0050909
378	LOC122849373	GO:0016020
379	LOC122849373	GO:0005886
380	LOC122849373	GO:0007165
381	LOC122859229	GO:0003824
382	LOC122852483	GO:0003723
383	LOC122860353	GO:0005524
384	LOC122860353	GO:0046872
385	LOC122860353	GO:0000166
386	LOC122860353	GO:0016874
387	LOC122853368	GO:0006508
388	LOC122853368	GO:0004190
389	LOC122860990	GO:0005634
390	LOC122860990	GO:0005515
391	LOC122860990	GO:0004842
392	LOC122860990	GO:0016567
393	LOC122860990	GO:0036297
394	LOC122856405	
395	LOC122853858	GO:0005515
396	LOC122853858	GO:0030234
397	LOC122853858	GO:0042176
398	LOC122853858	GO:0000502
399	LOC122853858	GO:0050790
400	LOC122850258	GO:0008270
401	LOC122850258	GO:0003676
402	LOC122850258	GO:0000398
403	LOC122850258	GO:0000386
404	LOC122850258	GO:0030628
405	LOC122850258	GO:0005634
406	LOC122850258	GO:0006397
407	LOC122850258	GO:0008380
408	LOC122850258	GO:0005681
409	LOC122855854	
410	LOC122860235	GO:0003677
411	LOC122860235	GO:0006355
412	LOC122851199	GO:0016021
413	LOC122851199	GO:0042765
414	LOC122851199	GO:0016020
415	LOC122856668	GO:0016020
416	LOC122856668	GO:0016021
417	LOC122855224	GO:0016021
418	LOC122855224	GO:0005783
419	LOC122855224	GO:0006886
420	LOC122857731	GO:0005524
421	LOC122857731	GO:0003677
422	LOC122857731	GO:0006260
423	LOC122857731	GO:0003678
424	LOC122857731	GO:0032508
425	LOC122857731	GO:0006270
426	LOC122857731	GO:0042555
427	LOC122857731	GO:0000166
428	LOC122857731	GO:0016787
429	LOC122857731	GO:0005634
430	LOC122857731	GO:0007049
431	LOC122857731	GO:0043229
432	LOC122857731	GO:0004386
433	LOC122855917	GO:0005524
434	LOC122855917	GO:0006457
435	LOC122855917	GO:0051082
436	LOC122855917	GO:0016887
437	LOC122855917	GO:0000166
438	LOC122855917	GO:0140662
439	LOC122855917	GO:0005737
440	LOC122856982	
441	LOC122851929	GO:0016021
442	LOC122851929	GO:0016757
443	LOC122851929	GO:0006486
444	LOC122851929	GO:0015020
445	LOC122851929	GO:0006024
