ensembl_gene_id	go_id
218	BIMP12175	GO:0003676
219	BIMP16987	
220	BIMP23015	
221	BIMP14320	GO:0006120
222	BIMP10444	
223	BIMP11225	
224	BIMP13067	GO:0016226
225	BIMP13067	GO:0051536
226	BIMP13067	GO:0005506
227	BIMP18838	GO:0004252
228	BIMP18838	GO:0006508
229	BIMP20525	
230	BIMP24483	GO:0003677
231	BIMP10755	
232	BIMP21292	
233	BIMP11602	
234	BIMP10605	
235	BIMP18610	
236	BIMP22756	GO:0046872
237	BIMP15295	GO:0005515
238	BIMP20213	GO:0009360
239	BIMP20213	GO:0006260
240	BIMP20213	GO:0003887
241	BIMP20213	GO:0005524
242	BIMP20213	GO:0003677
243	BIMP13257	GO:0006355
244	BIMP13257	GO:0000981
245	BIMP13257	GO:0003677
246	BIMP25237	
247	BIMP18050	GO:0016592
248	BIMP18050	GO:0006357
249	BIMP18050	GO:0003712
250	BIMP13098	
251	BIMP25698	
252	BIMP20976	GO:0016857
253	BIMP20976	GO:0006098
254	BIMP20976	GO:0004750
255	BIMP20976	GO:0005975
256	BIMP20976	GO:0003824
257	BIMP23193	GO:0008033
258	BIMP23193	GO:0050660
259	BIMP23193	GO:0017150
260	BIMP23193	GO:0055114
261	BIMP23193	GO:0003824
262	BIMP14022	GO:0000166
263	BIMP14022	GO:0003723
264	BIMP14022	GO:0003924
265	BIMP14022	GO:0031564
266	BIMP14022	GO:0006353
267	BIMP14022	GO:0005525
268	BIMP14022	GO:0031554
269	BIMP14022	GO:0003700
270	BIMP14022	GO:0006413
271	BIMP14022	GO:0003743
272	BIMP14022	GO:0003676
273	BIMP16597	
274	BIMP20203	GO:0016787
275	BIMP22989	GO:0008271
276	BIMP22989	GO:0008272
277	BIMP22989	GO:0015116
278	BIMP22989	GO:0055085
279	BIMP22989	GO:0016020
280	BIMP22989	GO:0016021
281	BIMP12576	GO:0008270
282	BIMP12576	GO:0003676
283	BIMP21240	GO:0035556
284	BIMP10920	GO:0005515
285	BIMP17375	GO:0000930
286	BIMP17375	GO:0031122
287	BIMP17375	GO:0007020
288	BIMP17375	GO:0005874
289	BIMP17375	GO:0007017
290	BIMP17375	GO:0003924
291	BIMP17375	GO:0005525
292	BIMP23049	GO:0005643
293	BIMP23049	GO:0017056
294	BIMP12657	
295	BIMP17166	GO:0004842
296	BIMP17166	GO:0005515
297	BIMP21042	GO:0007608
298	BIMP21042	GO:0005549
299	BIMP21042	GO:0004984
300	BIMP21042	GO:0016020
301	BIMP24223	GO:0090263
302	BIMP24223	GO:0045880
303	BIMP24223	GO:0030513
304	BIMP24223	GO:0062023
305	BIMP24223	GO:0046658
306	BIMP24223	GO:0009966
307	BIMP10220	
308	BIMP23493	GO:0006468
309	BIMP23493	GO:0004672
310	BIMP23493	GO:0005524
311	BIMP16348	
312	BIMP20120	GO:0022857
313	BIMP20120	GO:0055085
314	BIMP20120	GO:0016021
315	BIMP20981	
316	BIMP17295	GO:0008168
317	BIMP20520	
318	BIMP22643	
319	BIMP18640	
320	BIMP20056	
321	BIMP23365	GO:0003677
322	BIMP12935	GO:0009116
323	BIMP12935	GO:0000310
324	BIMP10694	GO:0042274
325	BIMP10694	GO:0000469
326	BIMP10694	GO:0004521
327	BIMP12813	GO:0005515
328	BIMP11797	
329	BIMP23957	GO:0007165
330	BIMP23957	GO:0043087
331	BIMP16507	GO:0005515
332	BIMP17953	GO:0005515
333	BIMP16295	GO:0000398
334	BIMP16295	GO:0003724
335	BIMP16295	GO:0004386
336	BIMP16295	GO:0005524
337	BIMP16295	GO:0003676
338	BIMP17545	GO:0008528
339	BIMP17545	GO:0007186
340	BIMP17545	GO:0004930
341	BIMP17545	GO:0016021
