ensembl_gene_id	go_id
191	WBGene00000038	GO:0042135
192	WBGene00000039	GO:0008241
193	WBGene00000039	GO:0008237
194	WBGene00000039	GO:0006508
195	WBGene00000039	GO:0016020
196	WBGene00000039	
197	WBGene00000040	
198	WBGene00000041	GO:0003994
199	WBGene00000041	GO:0006099
200	WBGene00000041	GO:0051539
201	WBGene00000042	GO:0005230
202	WBGene00000042	GO:0034220
203	WBGene00000042	GO:0045211
204	WBGene00000042	GO:0022848
205	WBGene00000042	GO:0006811
206	WBGene00000042	GO:0005216
207	WBGene00000042	GO:0004888
208	WBGene00000042	GO:0016021
209	WBGene00000043	GO:0005230
210	WBGene00000043	GO:0034220
211	WBGene00000043	GO:0045211
212	WBGene00000043	GO:0022848
213	WBGene00000043	GO:0006811
214	WBGene00000043	GO:0005216
215	WBGene00000043	GO:0004888
216	WBGene00000043	GO:0016021
217	WBGene00000044	GO:0005230
218	WBGene00000044	GO:0034220
219	WBGene00000044	GO:0006811
220	WBGene00000044	GO:0005216
221	WBGene00000044	GO:0004888
222	WBGene00000044	GO:0016021
223	WBGene00000045	GO:0016020
224	WBGene00000045	GO:0016021
225	WBGene00000045	GO:0004888
226	WBGene00000045	GO:0005216
227	WBGene00000045	GO:0005230
228	WBGene00000045	GO:0005886
229	WBGene00000045	GO:0006811
230	WBGene00000045	GO:0034220
231	WBGene00000045	GO:0042391
232	WBGene00000045	GO:0007268
233	WBGene00000045	GO:0043005
234	WBGene00000045	GO:0005887
235	WBGene00000045	GO:0007165
236	WBGene00000045	GO:0045202
237	WBGene00000045	GO:0050877
238	WBGene00000045	GO:0022848
239	WBGene00000045	GO:0030054
240	WBGene00000045	GO:0045211
241	WBGene00000045	GO:0060078
242	WBGene00000045	GO:0060079
243	WBGene00000045	GO:0030594
244	WBGene00000046	GO:0005230
245	WBGene00000046	GO:0034220
246	WBGene00000046	GO:0006811
247	WBGene00000046	GO:0005216
248	WBGene00000046	GO:0004888
249	WBGene00000046	GO:0016021
250	WBGene00000047	GO:0016020
251	WBGene00000047	GO:0016021
252	WBGene00000047	GO:0004888
253	WBGene00000047	GO:0005216
254	WBGene00000047	GO:0005230
255	WBGene00000047	GO:0005886
256	WBGene00000047	GO:0006811
257	WBGene00000047	GO:0034220
258	WBGene00000047	GO:0042391
259	WBGene00000047	GO:0007268
260	WBGene00000047	GO:0043005
261	WBGene00000047	GO:0005887
262	WBGene00000047	GO:0007165
263	WBGene00000047	GO:0045202
264	WBGene00000047	GO:0050877
265	WBGene00000047	GO:0022848
266	WBGene00000047	GO:0030054
267	WBGene00000047	GO:0045211
268	WBGene00000047	GO:0060078
269	WBGene00000047	GO:0060079
270	WBGene00000047	GO:0030594
271	WBGene00000048	GO:0016020
272	WBGene00000048	GO:0016021
273	WBGene00000048	GO:0004888
274	WBGene00000048	GO:0005216
275	WBGene00000048	GO:0005230
276	WBGene00000048	GO:0005886
277	WBGene00000048	GO:0006811
278	WBGene00000048	GO:0034220
279	WBGene00000048	GO:0042391
280	WBGene00000048	GO:0007268
281	WBGene00000048	GO:0043005
282	WBGene00000048	GO:0005887
283	WBGene00000048	GO:0007165
284	WBGene00000048	GO:0045202
285	WBGene00000048	GO:0050877
286	WBGene00000048	GO:0022848
287	WBGene00000048	GO:0030054
288	WBGene00000048	GO:0045211
289	WBGene00000048	GO:0060078
290	WBGene00000048	GO:0060079
291	WBGene00000048	GO:0030594
292	WBGene00000049	GO:0016020
293	WBGene00000049	GO:0016021
294	WBGene00000049	GO:0004888
295	WBGene00000049	GO:0005216
296	WBGene00000049	GO:0005230
297	WBGene00000049	GO:0005886
298	WBGene00000049	GO:0006811
299	WBGene00000049	GO:0034220
300	WBGene00000049	GO:0042391
301	WBGene00000049	GO:0007268
302	WBGene00000049	GO:0043005
303	WBGene00000049	GO:0005887
304	WBGene00000049	GO:0007165
305	WBGene00000049	GO:0045202
306	WBGene00000049	GO:0050877
307	WBGene00000049	GO:0022848
308	WBGene00000049	GO:0030054
309	WBGene00000049	GO:0045211
310	WBGene00000049	GO:0060078
311	WBGene00000049	GO:0060079
312	WBGene00000049	GO:0030594
313	WBGene00000050	GO:0016020
314	WBGene00000050	GO:0016021
315	WBGene00000050	GO:0004888
316	WBGene00000050	GO:0005216
317	WBGene00000050	GO:0005230
318	WBGene00000050	GO:0005886
319	WBGene00000050	GO:0006811
320	WBGene00000050	GO:0034220
321	WBGene00000050	GO:0042391
322	WBGene00000050	GO:0007268
323	WBGene00000050	GO:0043005
324	WBGene00000050	GO:0005887
325	WBGene00000050	GO:0007165
326	WBGene00000050	GO:0045202
327	WBGene00000050	GO:0050877
328	WBGene00000050	GO:0022848
329	WBGene00000050	GO:0030054
330	WBGene00000050	GO:0045211
331	WBGene00000050	GO:0060078
332	WBGene00000050	GO:0060079
333	WBGene00000050	GO:0030594
334	WBGene00000050	GO:0015464
335	WBGene00000050	GO:0007271
